BA4128,Office,43.659881,-79.397126,43.659868,-79.397058,43.659873,-79.397136,Bahen,4,A. Khisti
BA4132,Office,43.659856,-79.397117,43.65983,-79.397043,43.659819,-79.397113,Bahen,4,F. Kschischang
BA4134,Office,43.659817,-79.397102,43.659804,-79.397033,43.659808,-79.397112,Bahen,4,P. Aarabi
BA4136,Office,43.659789,-79.397091,43.659779,-79.397024,43.659768,-79.397092,Bahen,4,B. Frey
BA4138,Office,43.659765,-79.397082,43.659753,-79.397014,43.659758,-79.39709,Bahen,4,S. Draper
BA4140,Office,43.659739,-79.397073,43.659727,-79.397005,43.659719,-79.397072,Bahen,4,K.N Plataniotis
BA4142,Office,43.659715,-79.397056,43.659701,-79.396995,43.659704,-79.397062,Bahen,4,C. Amza
BA4144,Office,43.659694,-79.397073,43.659671,-79.396985,43.659705,-79.397066,Bahen,4,H.A Jacobsen
BA4145,OfficeReception,43.659767,-79.397198,43.659715,-79.397082,43.659705,-79.397194,Bahen,4,M. Stathopoulos
BA4135,Office,43.659793,-79.397208,43.659781,-79.397135,43.659801,-79.397111,Bahen,4,No description available
BA4100-60C,Corridor,0,0,0,0,43.659701,-79.397201,Bahen,4,No description available
BA4101E,Elevator,0,0,0,0,43.659756,-79.397218,Bahen,4,No description available
BA4153,Washroom,43.659719,-79.397303,43.659703,-79.39727,43.659695,-79.397279,Bahen,4,No description available
BA4155,Washroom,43.659714,-79.397327,43.659699,-79.397295,43.659689,-79.397303,Bahen,4,No description available
BA4157,GradLab,43.659794,-79.397399,43.659744,-79.397267,43.659683,-79.397346,Bahen,4,Multimedia Lab
BA4159,GradLab,43.659772,-79.397502,43.659696,-79.397361,43.659674,-79.397366,Bahen,4,Information Processing Lab
BA4165,GradLab,43.65975,-79.397609,43.659707,-79.397479,43.659633,-79.397547,Bahen,4,Information Processing Lab
BA4161,GradLab,43.65969,-79.397557,43.65968,-79.397384,43.659671,-79.397384,Bahen,4,PSI Lab Learning Algorithms and Transcriptomics
BA4167,GradStudentRoom,43.659729,-79.397714,43.659685,-79.397586,43.659632,-79.397577,Bahen,4,No description available
